Name,Powers,Team,First Appearance
Superman,"Super strength, flight, invulnerability, heat vision, x-ray vision",Justice League,1938
Wonder Woman,"Super strength, flight, lasso of truth, bulletproof bracelets",Justice League,1941
Spider-Man,"Wall-crawling, spider-sense, super strength, web-shooting",Avengers,1962
Batman,"Genius intellect, martial arts, advanced technology, detective skills",Justice League,1939
Iron Man,"Powered armor suit, flight, repulsor beams, genius intellect",Avengers,1963
The Flash,"Super speed, time travel, phasing through objects",Justice League,1940
Black Widow,"Expert martial artist, espionage, weapons mastery",Avengers,1964
Hulk,"Super strength, invulnerability, regeneration, increases power with anger",Avengers,1962
Thor,"Super strength, lightning control, flight, Mjolnir hammer",Avengers,1962
Aquaman,"Underwater breathing, super strength, telepathy with sea life",Justice League,1941
Black Panther,"Enhanced strength and agility, vibranium suit, genius intellect",Avengers,1966
Captain America,"Enhanced strength and agility, vibranium shield, tactical genius",Avengers,1941
Scarlet Witch,"Reality manipulation, telekinesis, energy projection, chaos magic",Avengers,1964
Doctor Strange,"Magic and sorcery, astral projection, time manipulation, teleportation",Avengers,1963
Green Lantern,"Power ring creates constructs, flight, force fields",Justice League,1940